epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1809.35,0.95321,0.66076,1.29489,0.49038,0.74883,0.67175,0.34023,2.20595,1.43635,2.53823,0.000628101,0.000628101,0.000628101
44,1856.79,0.92704,0.64975,1.27955,0.72947,0.51058,0.71542,0.42262,2.03297,1.39641,2.21199,0.000612981,0.000612981,0.000612981
45,1898.35,0.89362,0.63272,1.25351,0.55132,0.75117,0.69363,0.35393,2.13716,1.60657,2.41259,0.000597754,0.000597754,0.000597754
46,1945.73,0.89744,0.62251,1.26015,0.74749,0.72283,0.77655,0.3956,2.21703,1.19506,2.36038,0.000582435,0.000582435,0.000582435
47,1994.62,0.92495,0.61486,1.26923,0.79115,0.67407,0.77107,0.46951,1.99351,1.11334,2.24357,0.00056704,0.00056704,0.00056704
48,2042.51,0.90178,0.61969,1.26503,0.54149,0.71685,0.63091,0.31237,2.16105,1.60595,2.38466,0.000551584,0.000551584,0.000551584
49,2089.06,0.87538,0.60751,1.23464,0.71731,0.6262,0.76021,0.41073,2.09426,1.29922,2.32717,0.000536081,0.000536081,0.000536081
50,2130.78,0.88632,0.60757,1.23499,0.53399,0.82521,0.73403,0.39567,2.07472,1.43146,2.41765,0.000520548,0.000520548,0.000520548
51,2171.48,0.87507,0.59904,1.23068,0.76048,0.61052,0.75147,0.39257,2.11705,1.25575,2.4221,0.000505,0.000505,0.000505
52,2212.89,0.88225,0.59266,1.22851,0.52542,0.72853,0.67198,0.36515,2.10013,1.6735,2.31073,0.000489452,0.000489452,0.000489452
53,2253.66,0.85681,0.5999,1.22558,0.54156,0.73184,0.70517,0.36884,2.1595,1.51018,2.38772,0.000473919,0.000473919,0.000473919
54,2294.11,0.83343,0.57691,1.22318,0.76784,0.73905,0.77646,0.43792,2.00254,1.13732,2.20331,0.000458416,0.000458416,0.000458416
55,2333.94,0.84393,0.57124,1.20959,0.41787,0.95353,0.66762,0.36012,2.1225,2.39196,2.32075,0.00044296,0.00044296,0.00044296
56,2374.47,0.85151,0.59684,1.20992,0.77509,0.56341,0.72818,0.39241,1.99553,1.48417,2.20007,0.000427565,0.000427565,0.000427565
57,2415.24,0.87489,0.59565,1.21526,0.71154,0.59903,0.68864,0.36148,2.14705,1.29023,2.54892,0.000412246,0.000412246,0.000412246
58,2455.66,0.8775,0.58586,1.22574,0.81387,0.75577,0.80963,0.44679,1.95769,1.13521,2.25571,0.000397019,0.000397019,0.000397019
59,2496.17,0.82924,0.57006,1.19754,0.79833,0.76269,0.80535,0.41798,2.16595,1.13685,2.33111,0.000381899,0.000381899,0.000381899
60,2537.06,0.83069,0.55233,1.19315,0.79671,0.61867,0.76284,0.39737,2.15045,1.38053,2.49818,0.000366899,0.000366899,0.000366899
61,2578.24,0.80468,0.55089,1.19514,0.76895,0.67756,0.7646,0.41217,2.03719,1.21163,2.27424,0.000352037,0.000352037,0.000352037
62,2619.5,0.7837,0.54131,1.16996,0.66733,0.56429,0.72042,0.39077,1.97585,1.56679,2.27864,0.000337325,0.000337325,0.000337325
63,2660.3,0.79444,0.55195,1.17285,0.69638,0.53495,0.7005,0.3647,2.17676,1.53101,2.51954,0.000322778,0.000322778,0.000322778
64,2701.05,0.79412,0.54786,1.17297,0.79833,0.67456,0.78266,0.43473,2.05075,1.23114,2.37176,0.000308412,0.000308412,0.000308412
65,2741.92,0.81436,0.54121,1.18588,0.76637,0.66945,0.76745,0.4013,2.17532,1.27054,2.46536,0.000294239,0.000294239,0.000294239
66,2782.33,0.78495,0.53316,1.16885,0.47065,0.9391,0.66519,0.3407,2.15564,1.67757,2.46112,0.000280275,0.000280275,0.000280275
67,2822.32,0.76461,0.51937,1.15557,0.78283,0.68663,0.76017,0.40189,2.11224,1.23874,2.43802,0.000266532,0.000266532,0.000266532
1,395.437,3.03658,2.95837,2.63049,0.84231,0.08005,0.10171,0.01771,3.29327,2.94832,2.49486,0.0671626,0.000331691,0.000331691
2,781.438,2.07719,1.9937,1.85448,0.20824,0.38552,0.24999,0.1029,2.17882,2.39106,1.62273,0.0341624,0.000664862,0.000664862
3,1157.61,1.84818,1.70781,1.65283,0.20047,0.57717,0.20926,0.08246,2.06907,2.13441,1.60509,0.00116159,0.000997383,0.000997383
4,1533.72,1.73124,1.53887,1.57744,0.45911,0.40777,0.37055,0.14756,2.08083,2.20811,1.6162,0.000997803,0.000997803,0.000997803
5,1909.43,1.64039,1.37296,1.52058,0.52525,0.27013,0.26572,0.12657,1.9554,2.48108,1.72516,0.000996097,0.000996097,0.000996097
6,2285.86,1.55592,1.24585,1.45399,0.56152,0.45405,0.39743,0.18565,1.99686,2.21513,1.70763,0.000993906,0.000993906,0.000993906
7,2664.47,1.50893,1.13303,1.4177,0.48687,0.43735,0.4155,0.16739,2.08347,2.02833,1.80324,0.000991232,0.000991232,0.000991232
8,3046.87,1.46458,1.07533,1.40135,0.39221,0.41762,0.39092,0.18129,1.87519,2.10981,1.59415,0.000988079,0.000988079,0.000988079
9,3428.88,1.40364,0.98718,1.35251,0.23578,0.31987,0.33367,0.14489,2.02791,2.37769,1.64464,0.000984449,0.000984449,0.000984449
10,3810.94,1.35382,0.95394,1.3289,0.43656,0.44946,0.39177,0.17883,1.86772,1.99219,1.66529,0.000980345,0.000980345,0.000980345
11,4192.18,1.32089,0.90035,1.32132,0.28317,0.47213,0.3462,0.17687,1.91211,2.29155,1.63845,0.000975773,0.000975773,0.000975773
12,4570.45,1.23601,0.84239,1.26567,0.34584,0.45256,0.37024,0.16099,2.1082,2.04455,1.81365,0.000970736,0.000970736,0.000970736
13,4946.88,1.21334,0.80921,1.25135,0.61462,0.31455,0.36162,0.15813,1.93781,1.95343,1.64058,0.000965239,0.000965239,0.000965239
14,5322.84,1.21021,0.79828,1.24897,0.42601,0.38544,0.36836,0.1758,1.91009,2.28699,1.64772,0.000959289,0.000959289,0.000959289
15,5699.16,1.16994,0.7636,1.2328,0.35664,0.47248,0.32036,0.15556,1.88172,2.30771,1.73659,0.000952889,0.000952889,0.000952889
16,6075.35,1.16693,0.76202,1.23323,0.70175,0.36959,0.4566,0.22227,1.8092,2.09617,1.57143,0.000946048,0.000946048,0.000946048
17,6454.18,1.13465,0.71829,1.21333,0.45002,0.49903,0.43616,0.21491,1.76586,1.99228,1.6011,0.000938772,0.000938772,0.000938772
18,6837.46,1.10054,0.70307,1.18646,0.41287,0.53658,0.41984,0.20761,2.04467,2.23524,1.91206,0.000931067,0.000931067,0.000931067
19,7220.75,1.09109,0.70143,1.1867,0.32722,0.45701,0.35124,0.17375,1.95727,2.13749,1.77946,0.000922942,0.000922942,0.000922942
20,7603.85,1.06599,0.67661,1.17686,0.39471,0.41393,0.3906,0.18168,1.9655,2.17958,1.79794,0.000914405,0.000914405,0.000914405
21,7986.56,1.04542,0.66643,1.1593,0.34964,0.4219,0.35525,0.15811,1.96328,2.40314,1.78889,0.000905463,0.000905463,0.000905463
22,8369.32,1.04271,0.64971,1.1574,0.29828,0.44,0.34266,0.15712,2.05381,2.45727,1.82057,0.000896127,0.000896127,0.000896127
23,8752.85,1.03201,0.6512,1.15701,0.36853,0.47949,0.4183,0.2098,1.89393,2.04958,1.79438,0.000886404,0.000886404,0.000886404
24,9136.02,0.99674,0.63472,1.141,0.4415,0.52087,0.48774,0.232,1.9056,1.83553,1.80072,0.000876305,0.000876305,0.000876305
25,9515.76,0.99366,0.6199,1.13011,0.41546,0.32932,0.36275,0.17545,1.88898,2.45198,1.78067,0.000865839,0.000865839,0.000865839
26,9895.61,0.98155,0.6091,1.12658,0.44309,0.42092,0.37518,0.1813,1.81807,2.57518,1.70788,0.000855018,0.000855018,0.000855018
27,10279,0.97845,0.60194,1.12436,0.62763,0.38982,0.48381,0.23721,1.85645,2.00784,1.62892,0.000843851,0.000843851,0.000843851
28,10661.4,0.94524,0.58543,1.11272,0.35095,0.47705,0.44239,0.21698,1.90448,1.89201,1.82521,0.000832349,0.000832349,0.000832349
